name,patents
"SAMSUNG DISPLAY CO., LTD.",174536
International Business Machines Corporation,164083
CANON KABUSHIKI KAISHA,91331
SONY GROUP CORPORATION,62911
Fujitsu Limited,56343
Kabushiki Kaisha Toshiba,53607
Intel Corporation,53219
General Electric Company,52043
LG ELECTRONICS INC.,50000
"HITACHI, LTD.",46073
