patent_id,inventor_id,name,location_id
10951690,fl:sa_ln:srinivasan-17,Saraswathy Srinivasan,816d2d55-16c8-11ed-9b5f-1234bde3cd05
11444369,fl:yi_ln:tseng-6,Yi-Ling Tseng,907f3ef5-16c8-11ed-9b5f-1234bde3cd05
11041427,fl:yo_ln:matsuda-49,Yoshimoto Matsuda,9df03fac-16c8-11ed-9b5f-1234bde3cd05
10999714,fl:nu_ln:rosly-1,Nur Amalina Rosly,3cad10cf-16c8-11ed-9b5f-1234bde3cd05
10162261,fl:su_ln:lee-469,Su Jin Lee,3eb2eaaa-16c8-11ed-9b5f-1234bde3cd05
D1035611,fl:ta_ln:nara-5,Takashi Nara,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
12038126,fl:th_ln:kaiser-5,Thomas Kaiser,7f4e477f-49af-11ed-9879-1234bde3cd05
10617402,fl:br_ln:tockman-1,Bruce A. Tockman,df618bca-16c7-11ed-9b5f-1234bde3cd05
9268695,fl:ho_ln:simionescu-1,Horia Simionescu,1416e13d-16c8-11ed-9b5f-1234bde3cd05
11231168,fl:ch_ln:li-887,Chao Li,13e81279-16c8-11ed-9b5f-1234bde3cd05
9866824,fl:wi_ln:bruls-8,Wilhelmus Hendrikus Alfonsus Bruls,789bce50-16c8-11ed-9b5f-1234bde3cd05
9223760,fl:wa_ln:malkin-2,Wayne Allan Malkin,c42a857f-16c7-11ed-9b5f-1234bde3cd05
10698738,fl:sh_ln:li-490,Shubo Li,34e9615b-16c8-11ed-9b5f-1234bde3cd05
12352283,fl:hi_ln:nagao-18,Hideki Nagao,0f50cc5f-16c8-11ed-9b5f-1234bde3cd05
10331319,fl:sy_ln:galineau-1,Sylvain P. Galineau,5836da24-16c8-11ed-9b5f-1234bde3cd05
10911193,fl:ji_ln:choi-278,Jinsoo CHOI,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
9788546,fl:me_ln:siebert-1,Melissa Siebert,e9ec33b0-16c7-11ed-9b5f-1234bde3cd05
D1107634,fl:er_ln:townsend-4,Eric Christopher TOWNSEND,84638e2f-49af-11ed-9879-1234bde3cd05
D725505,fl:ho_ln:jaeschke-1,Horst Jaeschke,cbb300e0-16c7-11ed-9b5f-1234bde3cd05
12312536,fl:st_ln:yu-18,Stephanie Yu,4e49a0a0-16c8-11ed-9b5f-1234bde3cd05
12273757,fl:su_ln:jung-217,Sunghoon Jung,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
9982330,fl:de_ln:hsu-7,Derek Hsen Dai Hsu,6c716cfb-16c8-11ed-9b5f-1234bde3cd05
11224593,fl:ne_ln:joshi-7,Neeta Joshi,119aafa4-16c8-11ed-9b5f-1234bde3cd05
10658474,fl:ku_ln:tzeng-1,Kuo-Hwa Tzeng,b5c9a039-16c7-11ed-9b5f-1234bde3cd05
9589072,fl:sa_ln:khan-54,Sana Fahim Khan,816cf2b5-16c8-11ed-9b5f-1234bde3cd05
12165353,fl:an_ln:sundstrom-1,Andrew Sundstrom,efb44514-0315-11ef-b443-0a1e30f810d7
11617187,fl:sa_ln:ganu-2,Sachin Ganu,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
12179842,fl:ha_ln:bodin-1,Hans Bodin,243dd0d8-16c8-11ed-9b5f-1234bde3cd05
11595705,fl:sh_ln:o'malley-2,Shawn Michael O'Malley,ff7c3805-16c7-11ed-9b5f-1234bde3cd05
11262090,fl:ke_ln:shull-2,Kenneth D. Shull,d6f48e6f-16c7-11ed-9b5f-1234bde3cd05
11528824,fl:lu_ln:lopezmoreno-1,Luis Lopez Moreno,b24cf22b-16c7-11ed-9b5f-1234bde3cd05
9658151,fl:ma_ln:liphardt-2,Martin M. Liphardt,d1bef048-16c7-11ed-9b5f-1234bde3cd05
11384864,fl:yo_ln:yamada-56,Yoshiyuki Yamada,8bf25727-16c8-11ed-9b5f-1234bde3cd05
10891115,fl:pa_ln:koptilin-1,Pavel Koptilin,40a4262d-16c8-11ed-9b5f-1234bde3cd05
D1003337,fl:an_ln:tang-15,Andrew T. K. Tang,01dccb7a-16c8-11ed-9b5f-1234bde3cd05
11609753,fl:mi_ln:samuel-5,Michael Vincent Samuel,08356fad-16c8-11ed-9b5f-1234bde3cd05
10906348,fl:ri_ln:peres-1,Richard Peres,1831d82a-16c8-11ed-9b5f-1234bde3cd05
12024523,fl:la_ln:ulander-2,Lars Johan Andreas Ulander,5bdb258d-16c8-11ed-9b5f-1234bde3cd05
D1085032,fl:ky_ln:lee-627,Kyudae Lee,3eea8bf8-16c8-11ed-9b5f-1234bde3cd05
11893068,fl:yo_ln:jun-66,Youngkyun Jun,3eea8bf8-16c8-11ed-9b5f-1234bde3cd05
8927555,fl:da_ln:neff-1,Danielle K. Neff,808619a7-16c8-11ed-9b5f-1234bde3cd05
11461267,fl:yi_ln:wang-136,Yi Wang,91994cc9-49af-11ed-9879-1234bde3cd05
10644314,fl:gl_ln:amatucci-1,Glenn G. Amatucci,0e18d208-16c8-11ed-9b5f-1234bde3cd05
10105334,fl:wi_ln:meng-1,Wilson Meng,f7ccc69c-16c7-11ed-9b5f-1234bde3cd05
12074586,fl:gu_ln:weng-7,Guojun Weng,843f4caa-49af-11ed-9879-1234bde3cd05
9310547,fl:yo_ln:son-144,Young-Ran Son,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
11493499,fl:ra_ln:venkataramani-1,Raman Venkataramani,df7e494c-16c7-11ed-9b5f-1234bde3cd05
11407819,fl:ya_ln:ko-1,Ya-Ping Ko,cf4944e5-16c7-11ed-9b5f-1234bde3cd05
11708101,fl:vi_ln:ramamoorthy-2,Vimal Ramamoorthy,6966848b-16c8-11ed-9b5f-1234bde3cd05
10850064,fl:jo_ln:buysman-2,John Jason Buysman,d047bc2e-16c7-11ed-9b5f-1234bde3cd05
10789037,fl:ru_ln:shi-10,Ruiwen Shi,93778f03-16c8-11ed-9b5f-1234bde3cd05
9256973,fl:ca_ln:phillips-22,Cary Phillips,c39c8663-16c7-11ed-9b5f-1234bde3cd05
10828285,fl:sr_ln:punna-1,Sreenivas Punna,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
9149465,fl:mi_ln:grogan-1,Michael J. Grogan,0b2db200-16c8-11ed-9b5f-1234bde3cd05
D784590,fl:se_ln:jurdana-1,Sergio Jurdana,3b435ab2-16c8-11ed-9b5f-1234bde3cd05
10862110,fl:ja_ln:choi-156,Jaeman Choi,3eb3274f-16c8-11ed-9b5f-1234bde3cd05
11326911,fl:pi_ln:payraud-1,Pierre Payraud,48f2838c-16c8-11ed-9b5f-1234bde3cd05
10629805,fl:te_ln:asayama-1,Tetsuya Asayama,42f90495-16c8-11ed-9b5f-1234bde3cd05
9105616,fl:ka_ln:lee-173,Kang Hyun Lee,3eea8bf8-16c8-11ed-9b5f-1234bde3cd05
9103076,fl:mo_ln:hassan-32,Morris Hassan,0e5fa53d-16c8-11ed-9b5f-1234bde3cd05
11314830,fl:xi_ln:zhang-560,Xin Zhang,3b444e27-16c8-11ed-9b5f-1234bde3cd05
11323566,fl:mi_ln:chen-252,Ming Chen,34e9615b-16c8-11ed-9b5f-1234bde3cd05
11742302,fl:ar_ln:pun-1,Arthur Fong-Yuen Pun,04726932-16c8-11ed-9b5f-1234bde3cd05
11643132,fl:ar_ln:wojtalik-1,Artur Wojtalik,638bdc43-16c8-11ed-9b5f-1234bde3cd05
10494358,fl:ta_ln:toida-4,Takumi TOIDA,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
11253839,fl:al_ln:hagemeyer-1,Alfred Hagemeyer,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
10376878,fl:ni_ln:manaresi-2,Nicolò Manaresi,998e3060-16c8-11ed-9b5f-1234bde3cd05
9982200,fl:ra_ln:dongara-3,Rajeshwer Dongara,38125f95-16c8-11ed-9b5f-1234bde3cd05
9536571,fl:ro_ln:tench-1,Robert J. Tench,c402ac78-16c7-11ed-9b5f-1234bde3cd05
9291306,fl:pa_ln:conlan-1,Patrick Conlan,c345f536-16c7-11ed-9b5f-1234bde3cd05
11847113,fl:ra_ln:bordawekar-2,Rajesh Bordawekar,0951a6b6-16c8-11ed-9b5f-1234bde3cd05
12218424,fl:ha_ln:xu-119,Hao Xu,c6a61746-16c7-11ed-9b5f-1234bde3cd05
D888267,fl:an_ln:besana-1,Andrea Besana,94c73890-16c8-11ed-9b5f-1234bde3cd05
