patent_id,assignee_id,name,assignee_type
10452540,29b8f534-149e-443c-b76b-3c4a222da89c,International Business Machines Corporation,2.0
10990785,40432ae4-d8cd-48f7-bdc7-d2c3b1685719,NXP B.V.,3.0
10834535,d9306c5c-0682-4d06-9403-74ba052eb1d6,Oura Health Oy,3.0
12180478,0f9aaaa8-0c87-487d-91f8-47f5b1e34efe,ROCHE INNOVATION CENTER COPENHAGEN A/S,3.0
D1004870,ae000317-3435-4778-aa33-19697d1f148e,BISSELL Inc.,2.0
9992017,a7b79334-35a4-48e8-8143-47f2bfd65432,TELEFONAKTIEBOLAGET LM ERICSSON (PUBL),3.0
12417305,ee19b405-e8a2-4bfe-8aa1-9f8fe50d3be7,"Amazon Technologies, Inc.",2.0
11858080,eaa008b9-163f-4a5e-a364-07c398ad3eb2,KOLIBRI BETEILIGUNGSGESELLSCHAFT MBH & CO. KGAA,3.0
9037031,4ef2b9c8-d3e7-40d6-ac53-8694d8fe890f,Kabushiki Kaisha Toshiba,3.0
9598272,38edc402-cc0c-4905-b977-d0759cf926c0,2336063 ONTARIO INC.,3.0
10215326,b15d2283-1043-4ce5-a753-34337789cc7b,"L'Air Liquide, Societe Anonyme pour l'Etude et l'Exploitation des Procédés Georges Claude",3.0
9396090,10aa3d8e-b0ae-4c68-81ad-9e2dd031a07b,SAP SE,3.0
11565920,dd8e5360-f2b0-41a0-b4bf-d34613c415b4,OSHKOSH CORPORATION,2.0
10122288,77b0e539-7552-487c-8171-df9127f7fa66,"SUMITOMO ELECTRIC INDUSTRIES, LTD.",3.0
9688370,523e491c-04a0-4fa0-b13d-f4efc775837b,"SHEI CHUNG HSIN IND. CO., LTD.",3.0
9304159,60d0d424-80a8-4d80-b4d0-a03ccc3a4c9a,Eaton Corporation,2.0
9999075,be5bfb50-6595-446b-a4d6-df8ab617ec94,A School Corporation Kansai University,3.0
10421758,9ad71884-fa3a-475e-b26b-34321c2dcff7,Memorial Sloan Kettering Cancer Center,2.0
11645880,f94290bc-7c0d-49af-9797-828af77eb9c7,GM GLOBAL TECHNOLOGY OPERATIONS LLC,2.0
9004660,93036231-0e24-4efc-9030-73a3dd0d4e85,"MIYAKOSHI PRINTING MACHINERY CO., LTD.",3.0
11218496,9ba4a673-1745-4824-9c0e-812958e20bb4,Bishop Fox,2.0
10630488,66e2c62e-301f-42e2-a6de-b62c87f792e5,"HUAWEI TECHNOLOGIES CO., LTD.",3.0
11436048,c38e0f23-4fed-4894-9231-b49a7c9c6787,BARCELONA SUPERCOMPUTING CENTER—CENTRO NACIONAL DE SUPERCOMPUTACIÓN,3.0
11286063,d741637e-71a6-4101-a7db-0c2ba20a2958,The Boeing Company,2.0
11530282,901e83b5-d257-46d7-88bf-c3899a7a3f67,"Berry Global, Inc.",2.0
11860026,398098a3-6260-4080-b4b9-1d5ed20aba89,"Rochester Sensors, LLC",2.0
12308430,0b800e51-472b-4cd4-a8aa-4dc76f5b0b52,UNIST(ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY),3.0
9757622,b60c5c40-c606-4da6-a7f4-4fb756844aa9,Callaway Golf Company,2.0
9820615,1d5a7ead-9e90-4953-9339-ce3553eda289,"ZHUHAI UNILINK TECHNOLOGY CO., LTD.",3.0
11531846,ee19b405-e8a2-4bfe-8aa1-9f8fe50d3be7,"Amazon Technologies, Inc.",2.0
D946174,235eef56-e958-4a4e-842d-1f654fc8b93c,Masonite Corporation,2.0
11287057,8bd78eec-29db-4cd7-a70d-51f14b8b89c6,Crane ChemPharma & Energy Corp.,2.0
11691424,dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA,3.0
11666205,b23553dd-fa4e-4288-bd7c-a4b675a1227d,"KARL STORZ Imaging, Inc.",2.0
11589261,c0dd0b4d-fbbe-4965-b458-304bb690d1e8,Arm Limited,3.0
8964378,08f91805-6459-437d-a3d4-def133ef77d0,Wistron Corporation,3.0
10043800,533e0469-baac-46b7-9576-669db08092eb,"SAMSUNG DISPLAY CO., LTD.",3.0
11932410,f758057d-653f-46a6-839b-754198f730bd,SAFRAN HELICOPTER ENGINES,3.0
10787123,0c366465-e38a-4f8c-9292-e33ea65142e2,MANDOM CORPORATION,3.0
9691922,195cf2e1-d3be-48ef-86c5-c1134a77dfe1,"Fu Tai Hua Industry (Shenzhen) Co., Ltd.",3.0
11673220,af4c7e42-7ad3-4643-9c05-4025381f0877,Ford Motor Company,2.0
9952341,9d85c233-d177-4315-8245-3b92aad6c28b,Chevron U.S.A. Inc.,2.0
12098936,ff76d76f-ac52-49e3-b79d-a564bc90208c,SAFRAN,3.0
11418265,700ee0eb-3d4c-41f6-8f75-5100b9bd581b,BAE SYSTEMS PLC,3.0
11417954,533e0469-baac-46b7-9576-669db08092eb,"SAMSUNG DISPLAY CO., LTD.",3.0
9238402,87bbd77e-54e0-4d95-9c1b-7843963c09eb,TOYOTA JIDOSHA KABUSHIKI KAISHA,3.0
10292608,fe1c40af-8a94-4777-a42d-414893532f5f,Verily Life Sciences LLC,2.0
10770045,164fb31e-ea0f-4571-b1d7-bde640ac5a7c,"Avid Technology, Inc.",2.0
11364287,b67d2f38-2bea-4492-b250-4cf5f52eab70,"CUREMARK, LLC",2.0
